line_number,modified_ast
776,MethodDeclaration 776 IdentifierName 776 ParameterList 776 Parameter 776 IdentifierName
17,ClassDeclaration 17 BaseList 17 SimpleBaseType 17 GenericName 17 TypeArgumentList 17 IdentifierName 17 GenericName 17 TypeArgumentList 17 PredefinedType
114,ClassDeclaration 114 BaseList 114 SimpleBaseType 114 GenericName 114 TypeArgumentList 114 IdentifierName
114,ClassDeclaration 114 BaseList 114 SimpleBaseType 114 GenericName 114 TypeArgumentList 114 IdentifierName
16,ClassDeclaration 16 BaseList 16 SimpleBaseType 16 IdentifierName 16 SimpleBaseType 16 IdentifierName 16 SimpleBaseType 16 IdentifierName
13,ClassDeclaration 13 BaseList 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName
88,ForEachStatement 88 IdentifierName 88 IdentifierName
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator
17,FieldDeclaration 17 VariableDeclaration 17 IdentifierName 17 VariableDeclarator
18,FieldDeclaration 18 VariableDeclaration 18 PredefinedType 18 VariableDeclarator
